"NYN201904040",10,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"

"NYN201904040",51,"Mound Visit"2019NYN.EVN.regular.comment.csv",2

"NYN201904040",60,"Mound Visit"2019NYN.EVN.regular.comment.csv",3

"NYN201904040",63,"Mound Visit"2019NYN.EVN.regular.comment.csv",4

"NYN201904040",64,"Mound Visit"2019NYN.EVN.regular.comment.csv",5

"NYN201904040",70,"On-field Delay"2019NYN.EVN.regular.comment.csv",6

"NYN201904060",37,"Mound Visit"2019NYN.EVN.regular.comment.csv",7

"NYN201904060",54,"Mound Visit"2019NYN.EVN.regular.comment.csv",8

"NYN201904060",55,"Mound Visit"2019NYN.EVN.regular.comment.csv",9

"NYN201904060",67,"Mound Visit"2019NYN.EVN.regular.comment.csv",10

"NYN201904060",71,"Mound Visit"2019NYN.EVN.regular.comment.csv",11

"NYN201904060",72,"Mound Visit"2019NYN.EVN.regular.comment.csv",12

"NYN201904060",74,"Mound Visit"2019NYN.EVN.regular.comment.csv",13

"NYN201904060",75,"Mound Visit"2019NYN.EVN.regular.comment.csv",14

"NYN201904070",11,"Mound Visit"2019NYN.EVN.regular.comment.csv",15

"NYN201904070",36,"Mound Visit"2019NYN.EVN.regular.comment.csv",16

"NYN201904070",39,"Mound Visit"2019NYN.EVN.regular.comment.csv",17

"NYN201904070",52,"Mound Visit"2019NYN.EVN.regular.comment.csv",18

"NYN201904070",69,"Mound Visit"2019NYN.EVN.regular.comment.csv",19

"NYN201904070",80,"Mound Visit"2019NYN.EVN.regular.comment.csv",20

"NYN201904070",88,"Mound Visit"2019NYN.EVN.regular.comment.csv",21

"NYN201904070",90,"Mound Visit"2019NYN.EVN.regular.comment.csv",22

"NYN201904090",18,"Mound Visit"2019NYN.EVN.regular.comment.csv",23

"NYN201904090",25,"Mound Visit"2019NYN.EVN.regular.comment.csv",24

"NYN201904090",36,"Mound Visit"2019NYN.EVN.regular.comment.csv",25

"NYN201904090",48,"Mound Visit"2019NYN.EVN.regular.comment.csv",26

"NYN201904090",49,"Mound Visit"2019NYN.EVN.regular.comment.csv",27

"NYN201904090",53,"Mound Visit"2019NYN.EVN.regular.comment.csv",28

"NYN201904090",60,"Injury Delay"2019NYN.EVN.regular.comment.csv",29

"NYN201904090",66,"Mound Visit"2019NYN.EVN.regular.comment.csv",30

"NYN201904090",68,"Mound Visit"2019NYN.EVN.regular.comment.csv",31

"NYN201904090",76,"Mound Visit"2019NYN.EVN.regular.comment.csv",32

"NYN201904090",90,"Mound Visit"2019NYN.EVN.regular.comment.csv",33

"NYN201904090",93,"Mound Visit"2019NYN.EVN.regular.comment.csv",34

"NYN201904100",33,"Mound Visit"2019NYN.EVN.regular.comment.csv",35

"NYN201904100",36,"Mound Visit"2019NYN.EVN.regular.comment.csv",36

"NYN201904100",38,"Mound Visit"2019NYN.EVN.regular.comment.csv",37

"NYN201904100",39,"Mound Visit"2019NYN.EVN.regular.comment.csv",38

"NYN201904100",55,"Mound Visit"2019NYN.EVN.regular.comment.csv",39

"NYN201904100",62,"Mound Visit"2019NYN.EVN.regular.comment.csv",40

"NYN201904100",63,"Mound Visit"2019NYN.EVN.regular.comment.csv",41

"NYN201904100",66,"Mound Visit"2019NYN.EVN.regular.comment.csv",42

"NYN201904100",67,"$Twins challenged call that Astudillo was out at 1st; call was upheld - double play"2019NYN.EVN.regular.comment.csv",43

"NYN201904100",71,"Mound Visit"2019NYN.EVN.regular.comment.csv",44

"NYN201904220",31,"Mound Visit"2019NYN.EVN.regular.comment.csv",45

"NYN201904220",32,"On-field Delay"2019NYN.EVN.regular.comment.csv",46

"NYN201904220",32,"ej,harpb003,P,carlm901,Arguing balls and strikes $Harper ejected by HP umpire Carlson after complaining on 1-1 pitch to Hernandez and his own called strike 3 earlier in the inning"2019NYN.EVN.regular.comment.csv",47

"NYN201904220",54,"Mound Visit"2019NYN.EVN.regular.comment.csv",48

"NYN201904220",57,"Injury Delay Mound Visit"2019NYN.EVN.regular.comment.csv",49

"NYN201904220",68,"Mound Visit"2019NYN.EVN.regular.comment.csv",50

"NYN201904230",17,"Mound Visit"2019NYN.EVN.regular.comment.csv",51

"NYN201904230",18,"Injury Delay"2019NYN.EVN.regular.comment.csv",52

"NYN201904230",26,"$Nimmo left with an injured side"2019NYN.EVN.regular.comment.csv",53

"NYN201904230",40,"Mound Visit"2019NYN.EVN.regular.comment.csv",54

"NYN201904230",42,"Mound Visit"2019NYN.EVN.regular.comment.csv",55

"NYN201904230",71,"On-field Delay"2019NYN.EVN.regular.comment.csv",56

"NYN201904240",7,"Mound Visit"2019NYN.EVN.regular.comment.csv",57

"NYN201904240",15,"$Batter interference"2019NYN.EVN.regular.comment.csv",58

"NYN201904240",27,"Mound Visit"2019NYN.EVN.regular.comment.csv",59

"NYN201904240",39,"Mound Visit"2019NYN.EVN.regular.comment.csv",60

"NYN201904240",40,"Mound Visit"2019NYN.EVN.regular.comment.csv",61

"NYN201904240",52,"Mound Visit"2019NYN.EVN.regular.comment.csv",62

"NYN201904240",56,"Mound Visit"2019NYN.EVN.regular.comment.csv",63

"NYN201904240",64,"Mound Visit"2019NYN.EVN.regular.comment.csv",64

"NYN201904240",68,"On-field Delay"2019NYN.EVN.regular.comment.csv",65

"NYN201904260",0,"$Rain delay of 2 hours 42 minutes at start"2019NYN.EVN.regular.comment.csv",66

"NYN201904260",8,"Mound Visit"2019NYN.EVN.regular.comment.csv",67

"NYN201904260",24,"Mound Visit"2019NYN.EVN.regular.comment.csv",68

"NYN201904260",43,"Mound Visit"2019NYN.EVN.regular.comment.csv",69

"NYN201904260",45,"Mound Visit"2019NYN.EVN.regular.comment.csv",70

"NYN201904260",55,"Mound Visit"2019NYN.EVN.regular.comment.csv",71

"NYN201904260",78,"Injury Delay"2019NYN.EVN.regular.comment.csv",72

"NYN201904270",13,"Mound Visit"2019NYN.EVN.regular.comment.csv",73

"NYN201904270",15,"$Mets challenged call that Cain was out at 1st to complete DP; call was upheld - double play"2019NYN.EVN.regular.comment.csv",74

"NYN201904270",17,"Injury Delay"2019NYN.EVN.regular.comment.csv",75

"NYN201904270",24,"Mound Visit"2019NYN.EVN.regular.comment.csv",76

"NYN201904270",55,"Mound Visit"2019NYN.EVN.regular.comment.csv",77

"NYN201904270",65,"Mound Visit"2019NYN.EVN.regular.comment.csv",78

"NYN201904270",70,"Mound Visit"2019NYN.EVN.regular.comment.csv",79

"NYN201904270",71,"Mound Visit"2019NYN.EVN.regular.comment.csv",80

"NYN201904270",78,"Mound Visit"2019NYN.EVN.regular.comment.csv",81

"NYN201904270",84,"Mound Visit"2019NYN.EVN.regular.comment.csv",82

"NYN201904270",85,"Mound Visit"2019NYN.EVN.regular.comment.csv",83

"NYN201904280",5,"Injury Delay $Umpire review of ball hit by Alonso; call was upheld - triple"2019NYN.EVN.regular.comment.csv",84

"NYN201904280",5,"$Cano left with an injured hand"2019NYN.EVN.regular.comment.csv",85

"NYN201904280",33,"$Yelich left with an injured back"2019NYN.EVN.regular.comment.csv",86

"NYN201904280",46,"Mound Visit"2019NYN.EVN.regular.comment.csv",87

"NYN201904280",50,"Mound Visit"2019NYN.EVN.regular.comment.csv",88

"NYN201904280",51,"Mound Visit"2019NYN.EVN.regular.comment.csv",89

"NYN201904280",52,"Mound Visit"2019NYN.EVN.regular.comment.csv",90

"NYN201904280",62,"Mound Visit"2019NYN.EVN.regular.comment.csv",91

"NYN201904290",13,"Mound Visit"2019NYN.EVN.regular.comment.csv",92

"NYN201904290",20,"Mound Visit"2019NYN.EVN.regular.comment.csv",93

"NYN201904290",39,"Mound Visit"2019NYN.EVN.regular.comment.csv",94

"NYN201904290",40,"Mound Visit"2019NYN.EVN.regular.comment.csv",95

"NYN201904290",43,"Injury Delay"2019NYN.EVN.regular.comment.csv",96

"NYN201904290",52,"$Reds challenged call that Lorenzen was out at first to complete double play; call was upheld - double play"2019NYN.EVN.regular.comment.csv",97

"NYN201904290",56,"Mound Visit"2019NYN.EVN.regular.comment.csv",98

"NYN201904290",59,"Mound Visit"2019NYN.EVN.regular.comment.csv",99

"NYN201904290",61,"$Mets challenged call that Puig was hit by second pitch; call was overturned - foul"2019NYN.EVN.regular.comment.csv",100

"NYN201904290",63,"Mound Visit"2019NYN.EVN.regular.comment.csv",101

"NYN201904290",67,"Injury Delay Mound Visit"2019NYN.EVN.regular.comment.csv",102

"NYN201904290",72,"Mound Visit"2019NYN.EVN.regular.comment.csv",103

"NYN201904300",6,"$Reds challenged call that Alonso was out at 1st to complete double play; call was overturned - double play"2019NYN.EVN.regular.comment.csv",104

"NYN201904300",42,"Mound Visit"2019NYN.EVN.regular.comment.csv",105

"NYN201904300",46,"Mound Visit"2019NYN.EVN.regular.comment.csv",106

"NYN201904300",57,"Mound Visit"2019NYN.EVN.regular.comment.csv",107

"NYN201904300",59,"Mound Visit"2019NYN.EVN.regular.comment.csv",108

"NYN201904300",65,"Mound Visit"2019NYN.EVN.regular.comment.csv",109

"NYN201904300",66,"Mound Visit"2019NYN.EVN.regular.comment.csv",110

"NYN201904300",67,"Mound Visit"2019NYN.EVN.regular.comment.csv",111

"NYN201904300",71,"Mound Visit"2019NYN.EVN.regular.comment.csv",112

"NYN201904300",74,"Mound Visit"2019NYN.EVN.regular.comment.csv",113

"NYN201904300",75,"Mound Visit"2019NYN.EVN.regular.comment.csv",114

"NYN201904300",85,"Mound Visit"2019NYN.EVN.regular.comment.csv",115

"NYN201905010",23,"Mound Visit"2019NYN.EVN.regular.comment.csv",116

"NYN201905010",25,"Mound Visit"2019NYN.EVN.regular.comment.csv",117

"NYN201905010",34,"Injury Delay"2019NYN.EVN.regular.comment.csv",118

"NYN201905010",44,"Mound Visit"2019NYN.EVN.regular.comment.csv",119

"NYN201905010",47,"Mound Visit"2019NYN.EVN.regular.comment.csv",120

"NYN201905010",52,"Mound Visit"2019NYN.EVN.regular.comment.csv",121

"NYN201905010",57,"Mound Visit"2019NYN.EVN.regular.comment.csv",122

"NYN201905010",60,"Mound Visit"2019NYN.EVN.regular.comment.csv",123

"NYN201905020",17,"Injury Delay"2019NYN.EVN.regular.comment.csv",124

"NYN201905020",55,"On-field Delay"2019NYN.EVN.regular.comment.csv",125

"NYN201905020",55,"ej,winkj002,P,fostm901,Balls and strikes ej,belld002,M,fostm901,Balls and strikes $Winker and Reds manager Bell ejected by HP umpire Foster for arguing balls and strikes after strike 2 to Winker; Farmer replaced Winker and completed strikeout charged to Winker"2019NYN.EVN.regular.comment.csv",126

"NYN201905020",59,"Mound Visit"2019NYN.EVN.regular.comment.csv",127

"NYN201905100",7,"Mound Visit"2019NYN.EVN.regular.comment.csv",128

"NYN201905100",31,"Mound Visit"2019NYN.EVN.regular.comment.csv",129

"NYN201905100",64,"Mound Visit"2019NYN.EVN.regular.comment.csv",130

"NYN201905100",87,"$Marlins challenged call that Walker was out at 1st; call was overturned - single"2019NYN.EVN.regular.comment.csv",131

"NYN201905100",88,"$Mets challenged call that Anderson was safe at 1st; call was overturned - ground out to end game"2019NYN.EVN.regular.comment.csv",132

"NYN201905110",25,"Mound Visit"2019NYN.EVN.regular.comment.csv",133

"NYN201905110",32,"Mound Visit"2019NYN.EVN.regular.comment.csv",134

"NYN201905110",46,"Mound Visit"2019NYN.EVN.regular.comment.csv",135

"NYN201905110",50,"Mound Visit"2019NYN.EVN.regular.comment.csv",136

"NYN201905110",54,"Mound Visit"2019NYN.EVN.regular.comment.csv",137

"NYN201905200",27,"Mound Visit"2019NYN.EVN.regular.comment.csv",138

"NYN201905200",35,"Mound Visit"2019NYN.EVN.regular.comment.csv",139

"NYN201905200",53,"Mound Visit"2019NYN.EVN.regular.comment.csv",140

"NYN201905200",63,"Mound Visit"2019NYN.EVN.regular.comment.csv",141

"NYN201905200",64,"Mound Visit"2019NYN.EVN.regular.comment.csv",142

"NYN201905200",69,"Mound Visit On-field Delay"2019NYN.EVN.regular.comment.csv",143

"NYN201905200",69,"$Nationals challenged call that Gomez was safe at 1st; call was upheld - safe of pickoff attempt"2019NYN.EVN.regular.comment.csv",144

"NYN201905200",71,"Mound Visit"2019NYN.EVN.regular.comment.csv",145

"NYN201905200",77,"Mound Visit"2019NYN.EVN.regular.comment.csv",146

"NYN201905210",35,"Mound Visit"2019NYN.EVN.regular.comment.csv",147

"NYN201905210",55,"Mound Visit"2019NYN.EVN.regular.comment.csv",148

"NYN201905210",56,"Mound Visit"2019NYN.EVN.regular.comment.csv",149

"NYN201905210",62,"Mound Visit"2019NYN.EVN.regular.comment.csv",150

"NYN201905210",64,"Mound Visit"2019NYN.EVN.regular.comment.csv",151

"NYN201905210",66,"Mound Visit"2019NYN.EVN.regular.comment.csv",152

"NYN201905210",67,"$Umpire review of ball hit by Alonso; call was upheld - homer"2019NYN.EVN.regular.comment.csv",153

"NYN201905210",75,"Mound Visit"2019NYN.EVN.regular.comment.csv",154

"NYN201905210",76,"Mound Visit"2019NYN.EVN.regular.comment.csv",155

"NYN201905220",22,"$Cano left with an injured leg"2019NYN.EVN.regular.comment.csv",156

"NYN201905220",34,"Mound Visit"2019NYN.EVN.regular.comment.csv",157

"NYN201905220",42,"Mound Visit"2019NYN.EVN.regular.comment.csv",158

"NYN201905220",43,"Mound Visit"2019NYN.EVN.regular.comment.csv",159

"NYN201905220",52,"Mound Visit"2019NYN.EVN.regular.comment.csv",160

"NYN201905220",60,"Mound Visit"2019NYN.EVN.regular.comment.csv",161

"NYN201905220",61,"Mound Visit"2019NYN.EVN.regular.comment.csv",162

"NYN201905220",65,"Mound Visit"2019NYN.EVN.regular.comment.csv",163

"NYN201905230",26,"Injury Delay"2019NYN.EVN.regular.comment.csv",164

"NYN201905230",53,"Mound Visit"2019NYN.EVN.regular.comment.csv",165

"NYN201905230",62,"ej,kendh001,P,drecb901,Refusal of appeal on check swing ej,martd002,M,drecb901,Refusal of appeal on check swing $Kendrick ejected by HP umpire Dreckman when he was not granted an appeal for his check swing; Washington manager Martinez also ejected"2019NYN.EVN.regular.comment.csv",166

