"ATL199210060",30,"$Orlando Merced bobbled the bunt then threw wide"FILENAME_TX","LINE_NUMBER_CT"

"PIT199210110",24,"$Terry Pendleton called for interference for running inside the baseline"1992NLCS.EVE.post.comment.csv",2

"ATL199210130",13,"$the throw to 3B hit Don Slaught on the helmet"1992NLCS.EVE.post.comment.csv",3

"ATL199210130",20,"$Lloyd McClendon rounded 1B too far; Barry Bonds tried to score in ensuing rundown"1992NLCS.EVE.post.comment.csv",4

"ATL199210140",12,"umpchange,2,umphp,marsr901 umpchange,2,ump1b,monte901 umpchange,2,umprf,(None) $HP umpire John McSherry left with unknown illness; 11 minute delay for 1B umpire Randy Marsh to change gear; RF umpire Ed Montague moved to 1B"1992NLCS.EVE.post.comment.csv",5

"ATL199210140",67,"$Lloyd McClendon left injured"1992NLCS.EVE.post.comment.csv",6

