"CLE201604050",0,"$this game is a makeup for the one postponed on 4/4 due to bad weather"FILENAME_TX","LINE_NUMBER_CT"

"CLE201604150",13,"replay,2,cabra002,NYN,scotd901,CLE08,,Y,M,CLE,A $when Meil Walker was called safe at HP, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"2016CLE.EVA.regular.comment.csv",2

"CLE201604160",38,"Indians pitcher Josh Tomlin left the game due to an injured leg"2016CLE.EVA.regular.comment.csv",3

"CLE201604160",57,"Mets catcher Travis d'Arnaud left the game due to an injured elbow"2016CLE.EVA.regular.comment.csv",4

"CLE201604190",7,"replay,1,kipnj001,CLE,kellj901,CLE08,,Y,M,CLE,C $when Jason Kipnis was called out at 1B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"2016CLE.EVA.regular.comment.csv",5

"CLE201604210",62,"$originally scored as E9, changed to double on 05-04-2016"2016CLE.EVA.regular.comment.csv",6

"CLE201604210",84,"replay,9,santc002,CLE,kellj901,CLE08,,N,M,CLE,A $when Francsco Lindor was called out at 2B, Indians manager Terry Francona challenged the ruling; the call was upheld by replay"2016CLE.EVA.regular.comment.csv",7

"CLE201605030",4,"replay,1,martv001,DET,mealj901,CLE08,,Y,M,CLE,A $when J.D. Martinez was called safe at HP, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"2016CLE.EVA.regular.comment.csv",8

"CLE201605040",54,"replay,7,naqut001,CLE,mealj901,CLE08,,Y,M,DET,A $when Juan Uribe was called safe at 2B, Tigers manager Brad Ausmus challenged the ruling; the call was overturned because Uribe ran out of the line to avoid the tag"2016CLE.EVA.regular.comment.csv",9

"CLE201605060",68,"$originally scored E4, changed to single on 05-07-2016, making his run now earned"2016CLE.EVA.regular.comment.csv",10

"CLE201605070",68,"replay,8,lindf001,CLE,carlm901,CLE08,,N,M,CLE,C $when Jason Kipnis was called out at 2B, Indians manager Terry Francona challenged the ruling; the call was upheld by replay"2016CLE.EVA.regular.comment.csv",11

"CLE201605080",20,"replay,3,santc002,CLE,carlm901,CLE08,,Y,M,CLE,C $when Carlos Santana was called out at 1B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"2016CLE.EVA.regular.comment.csv",12

"CLE201605080",37,"replay,4,kipnj001,CLE,carlm901,CLE08,,Y,M,KCA,C $when Jason Kipnis was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay"2016CLE.EVA.regular.comment.csv",13

"CLE201605140",6,"replay,1,kipnj001,CLE,barrt901,CLE08,,Y,M,MIN,C $when Jason Kipnis was called safe at 1B, Twins manager Paul Molitor challenged the ruling; the call was overturned by replay"2016CLE.EVA.regular.comment.csv",14

"CLE201605150",68,"$originally scored as double, changed to error on 05-23-2016, making both runs unearned and removing two RBI"2016CLE.EVA.regular.comment.csv",15

"CLE201605160",39,"replay,4,kipnj001,CLE,everm901,CLE08,,Y,M,CLE,A $when Rajai Davis was called out at HP, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"2016CLE.EVA.regular.comment.csv",16

