"BOS195404181",38,"last two plays might be one play","FILENAME_TX","LINE_NUMBER_CT"
"BOS195404182",14,"missing play in BOS195404182","1954BOS.EVA.regular.comment.csv",2
"BOS195404182",27,"missing play in BOS195404182","1954BOS.EVA.regular.comment.csv",3
"BOS195404182",45,"$lights turned on; the first time lights were allowed on Sunday due to the relaxing of the blue laws in Boston","1954BOS.EVA.regular.comment.csv",4
"BOS195404182",90,"The rest of the game is incomplete","1954BOS.EVA.regular.comment.csv",5
"BOS195405280",83,"ej,mcdoj104,P,hurle901,Bench jockeying Jim McDonald ejected by 3B umpire Eddie Hurley","1954BOS.EVA.regular.comment.csv",6
"BOS195405290",50,"$440 feet; 27th row of the bleachers","1954BOS.EVA.regular.comment.csv",7
"BOS195406010",76,"$infield shifted to right for Ted Williams, with 3B Jim Finigan at SS position","1954BOS.EVA.regular.comment.csv",8
"BOS195406010",83,"$the ball landed on the roof of a building on the other side of Lansdowne Street","1954BOS.EVA.regular.comment.csv",9
"BOS195406030",80,"ej,lolls101,P,stevj901,Balls and strikes Sherm Lollar ejected by HP umpire Johnny Stevens","1954BOS.EVA.regular.comment.csv",10
"BOS195406072",68,"ej,boonr101,P,nappl901,Called third strike (Threw bat) Ray Boone ejected by HP umpire Larry Napp","1954BOS.EVA.regular.comment.csv",11
"BOS195406072",105,"ej,housf103,P,nappl901,Call at HP ej,hutcf101,M,nappl901,Call at HP Frank House ejected by HP umpire Larry Napp Frank House and Tigers Manager Fred Hutchinson ejected by HP umpire Larry Napp after the game was over","1954BOS.EVA.regular.comment.csv",12
"BOS195406080",90,"fan interference","1954BOS.EVA.regular.comment.csv",13
"BOS195406102",32,"DIFF: official totals do not credit DP to fielders","1954BOS.EVA.regular.comment.csv",14
"BOS195406140",21,"assist invented","1954BOS.EVA.regular.comment.csv",15
"BOS195406140",27,"$Rudy Regalado left with injury from being HBP in second inning","1954BOS.EVA.regular.comment.csv",16
"BOS195407010",31,"$the ball struck the 1B bag and caromed into foul territory","1954BOS.EVA.regular.comment.csv",17
"BOS195407010",36,"$the throw struck Joe Collins as he was sliding into 3B","1954BOS.EVA.regular.comment.csv",18
"BOS195407010",49,"$Joe Collins left with dizziness and an upset stomach after being struck on the head in the fourth","1954BOS.EVA.regular.comment.csv",19
"BOS195407030",2,"$Tex Clevenger left with pain in his shoulder and upper back","1954BOS.EVA.regular.comment.csv",20
"BOS195407040",8,"$infield shifted against Ted Williams with 3B Eddie Joost in the shortstop hole","1954BOS.EVA.regular.comment.csv",21
"BOS195407040",20,"$Billy Shantz spiked by Grady Hatton; Shantz left with an eight inch gash on his right arm","1954BOS.EVA.regular.comment.csv",22
"BOS195407151",60,"ej,hoppj102,C,summb901,Bench jockeying $Tigers coach Hopp ejected by HP umpire Summers for bench jockeying","1954BOS.EVA.regular.comment.csv",23
"BOS195407191",0,"Protest=V","1954BOS.EVA.regular.comment.csv",24
"BOS195407191",15,"the Orioles played the game under protest; Orioles Manager Jimmy Dykes thought Sid Hudson balked","1954BOS.EVA.regular.comment.csv",25
"BOS195407200",1,"One CLE strikeout is K23, I put it here","1954BOS.EVA.regular.comment.csv",26
"BOS195407200",130,"Game called as tie at 12:57AM due to curfew rule","1954BOS.EVA.regular.comment.csv",27
"BOS195407210",79,"game called due to rain as a tie; second consecutive tie between these two teams","1954BOS.EVA.regular.comment.csv",28
"BOS195407230",0,"90 minute rain delay before start of game","1954BOS.EVA.regular.comment.csv",29
"BOS195407252",56,"ej,richp101,M,mckib901,Balls and strikes White Sox Manager Paul Richards ejected by HP umpire Bill McKinley","1954BOS.EVA.regular.comment.csv",30
"BOS195407252",65,"Jensen of the Red Sox is credited with a SB in both  the NY Times and TSN box scores.  However, there is nothing indicated in the White Sox scoresheet for this game that he in fact had a steal.","1954BOS.EVA.regular.comment.csv",31
"BOS195408210",79,"$Gene Woodling crashed into the wall breaking right thumb; he left after two more batters","1954BOS.EVA.regular.comment.csv",32
"BOS195408210",81,"ej,berry101,P,grieb901,Balls and strikes ej,dickb101,C,grieb901,Balls and strikes Yogi Berra and Yankees Coach Bill Dickey ejected by HP umpire Bill Grieve","1954BOS.EVA.regular.comment.csv",33
"BOS195408300",11,"$Al Rosen hit ball off wall, but thought it had been caught","1954BOS.EVA.regular.comment.csv",34
"BOS195409011",83,"fan interference","1954BOS.EVA.regular.comment.csv",35
"BOS195409200",21,"$infield shifted against Ted Williams with 3B Jim Finigan playing in the SS position","1954BOS.EVA.regular.comment.csv",36
"BOS195409211",25,"Jimmy Piersall left with swelling in his hand after being HBP in the second inning","1954BOS.EVA.regular.comment.csv",37
"BOS195409211",40,"$infield shifted against Ted Williams with 3B Jim Finigan playing in the SS position","1954BOS.EVA.regular.comment.csv",38
"BOS195409211",69,"heavy rain started","1954BOS.EVA.regular.comment.csv",39
"BOS195409211",76,"26 minute rain delay","1954BOS.EVA.regular.comment.csv",40
"BOS195409212",75,"$great decoy by Jackie Jensen to hold Joe DeMaestri at 3B","1954BOS.EVA.regular.comment.csv",41
"BOS195409260",71,"DIFF: DP not in officials","1954BOS.EVA.regular.comment.csv",42
