"SLN200210090",46,"$Mike Crudale's first pitch was high and tight, causing a reaction from Kenny Lofton; both benches cleared with much pushing and shoving; managers Tony LaRussa and Dusty Baker go after each other and are separated; the pitch apparently was retalation for Lofton's perceived showboating after his 3rd inning homer; no ejections; both sides warned","FILENAME_TX","LINE_NUMBER_CT"
"SFN200210120",10,"$everyone safe when Fernando Vina failed to cover 2B; he relayed to 1B too late to get Benito Santiago","2002NLCS.EVE.post.comment.csv",2
"SFN200210140",37,"$Miguel Cairo called for obstruction but 3B umpire Jeff Nelson ruled Benito Santiago would not have scored so 'remedy' is to award him 3B; no error on play because no advance","2002NLCS.EVE.post.comment.csv",3
"SFN200210140",59,"$Edgar Renteria thought dribbler was foul, did not run","2002NLCS.EVE.post.comment.csv",4
"SFN200210140",75,"$after David Bell scored the Series-winning run, Kenny Lofton taunted the Cardinals' players in the dugout as a reaction to the inside pitch and comments in game 1","2002NLCS.EVE.post.comment.csv",5
