"MIN196705070",27,"$George Thomas broke fourth metacarpal bone on diving attempt for Ron Clark's double"FILENAME_TX","LINE_NUMBER_CT"

"MIN196705130",55,"Debut game for Roberto Rodriquez"1967MIN.EVA.regular.comment.csv",2

"MIN196705220",70,"ej,stane101,M,ashfe901,Called third strike $White Sox manager Stanky ejected by HP umpire Ashford for arguing called strike 3"1967MIN.EVA.regular.comment.csv",3

"MIN196706100",22,"ej,wynne101,C,stevj901,Balk non-call $Twins coach Wynn ejected by HP umpire Stevens for arguing pitcher had balked"1967MIN.EVA.regular.comment.csv",4

"MIN196707050",1,"Debut game for Cecil Perkins"1967MIN.EVA.regular.comment.csv",5

"MIN196707162",59,"ej,rignb101,M,valeb901,Refusal to allow pitching change $Angels manager Rigney ejected by HP umpire Valentine when he was told his mound visit ended when he left the circle of the mound and could not make a pitching change or double switch"1967MIN.EVA.regular.comment.csv",6

"MIN196707170",45,"ej,kaatj101,P,sprim901,Balls and strikes $Twins Kaat, not in game, ejected by HP umpire Springstead for arguing ball/strike call with Brunet at bat"1967MIN.EVA.regular.comment.csv",7

"MIN196708060",34,"game called for rain"1967MIN.EVA.regular.comment.csv",8

"MIN196708070",6,"$the ball struck the 3B bag"1967MIN.EVA.regular.comment.csv",9

"MIN196708070",41,"$the ball struck the 1B bag"1967MIN.EVA.regular.comment.csv",10

"MIN196708080",16,"ej,batte101,P,salea901,Balls and strikes Earl Battey ejected by HP umpire Al Salerno"1967MIN.EVA.regular.comment.csv",11

"MIN196708090",129,"Debut game for Hank Izquierdo"1967MIN.EVA.regular.comment.csv",12

"MIN196708110",7,"Ken Boyer left with unknown injury"1967MIN.EVA.regular.comment.csv",13

"MIN196708130",69,"ej,stane101,M,valeb901,Call at 3B White Sox Manager Eddie Stanky ejected by HP umpire Bill Valentine"1967MIN.EVA.regular.comment.csv",14

"MIN196709020",57,"Debut game for Tommy Matchick"1967MIN.EVA.regular.comment.csv",15

"MIN196709042",74,"ej,ermec101,M,drumc901,Call at 1B $Fred Whitfield's bouncer was fielded by Harmon Killebrew as he crossed into foul territory; Whitfield beat Killebrew to the bag; Twins Manager Cal Ermer ejected by 1B umpire Cal Drummond"1967MIN.EVA.regular.comment.csv",16

"MIN196709060",41,"Debut game for Graig Nettles"1967MIN.EVA.regular.comment.csv",17

"MIN196709060",74,"Debut game for Pat Kelly"1967MIN.EVA.regular.comment.csv",18

