"ATL196704180",40,"$Mike de la Hoz called for interference"FILENAME_TX","LINE_NUMBER_CT"

"ATL196705030",11,"Debut game for Joe Campbell"1967ATL.EVN.regular.comment.csv",2

"ATL196705160",38,"ej,olivg101,P,kiblj901,Balls and strikes Gene Oliver ejected by HP umpire John Kibler; Joe Torre catches with a broken index finger"1967ATL.EVN.regular.comment.csv",3

"ATL196705180",74,"ej,hitcb101,M,engeb901,Balls and strikes ej,torrj101,P,engeb901,Balls and strikes Joe Torre and Braves Manager Billy Hitchcock ejected by HP umpire Bob Engel"1967ATL.EVN.regular.comment.csv",4

"ATL196705190",54,"394 ft"1967ATL.EVN.regular.comment.csv",5

"ATL196705210",65,"ej,willm102,P,pryop901,Called third strike Maury Wills ejected by HP umpire Paul Pryor"1967ATL.EVN.regular.comment.csv",6

"ATL196706090",25,"missing play in ATL196706090"1967ATL.EVN.regular.comment.csv",7

"ATL196706110",9,"$Hank Aaron stole 2B; after the throw to 2B, Felipe Alou tried to steal home and was charged with a caught stealing"1967ATL.EVN.regular.comment.csv",8

"ATL196706230",43,"Denis Menke left with injured collarbone"1967ATL.EVN.regular.comment.csv",9

"ATL196707042",16,"Denny Lemaster left with rib cage muscle pull"1967ATL.EVN.regular.comment.csv",10

"ATL196707250",37,"rain delay"1967ATL.EVN.regular.comment.csv",11

"ATL196707260",73,"45 minute rain delay"1967ATL.EVN.regular.comment.csv",12

"ATL196707270",33,"28 minute rain delay"1967ATL.EVN.regular.comment.csv",13

"ATL196709030",18,"ej,alstw101,M,sudoe901,Call at HP Dodgers Manager Walter Alston ejected by HP umpire Ed Sudol"1967ATL.EVN.regular.comment.csv",14

"ATL196709030",54,"ej,delam101,P,wendh901,Call at 2B Mike de la Hoz ejected by 2B umpire Harry Wendelstedt"1967ATL.EVN.regular.comment.csv",15

"ATL196709120",12,"Debut game for Bob Heise"1967ATL.EVN.regular.comment.csv",16

"ATL196709120",72,"Debut game for Mike Lum"1967ATL.EVN.regular.comment.csv",17

"ATL196709140",65,"Debut game for Cito Gaston"1967ATL.EVN.regular.comment.csv",18

"ATL196709140",68,"Debut game for Remy Hermoso"1967ATL.EVN.regular.comment.csv",19

"ATL196709150",0,"$Fergie Jenkins 115 pitches; Clay Carroll 25 pitches"1967ATL.EVN.regular.comment.csv",20

"ATL196709150",61,"Debut game for George Stone"1967ATL.EVN.regular.comment.csv",21

"ATL196709160",0,"$Ken Johnson 103 pitches; Rich Nye 109 pitches"1967ATL.EVN.regular.comment.csv",22

"ATL196709170",0,"$Denny LeMaster 69 pitches; Joe Niekro 101 pitches"1967ATL.EVN.regular.comment.csv",23

"ATL196709200",1,"Debut game for Jim Britton"1967ATL.EVN.regular.comment.csv",24

