"NYA199504260",0,"Debut for umpire Larry Walding; the season started with replacement umpires because the staff arbiters were on strike","FILENAME_TX","LINE_NUMBER_CT"
"NYA199505020",1,"Debut game for Vaughn Eshelman","1995NYA.EVA.regular.comment.csv",2
"NYA199505050",29,"$Turner Ward called for interference","1995NYA.EVA.regular.comment.csv",3
"NYA199506020",51,"ej,oneip001,P,cedeg901,Balls and strikes Paul O'Neill ejected by HP umpire Gary Cederstrom","1995NYA.EVA.regular.comment.csv",4
"NYA199506070",74,"ej,larut101,M,scotd901,Balls and strikes ej,steit001,P,scotd901,Balls and strikes Terry Steinbach and Athletics manager Tony LaRussa ejected by HP umpire Dale Scott","1995NYA.EVA.regular.comment.csv",5
"NYA199506230",65,"Debut game for Rico Jordan","1995NYA.EVA.regular.comment.csv",6
"NYA199506230",80,"Debut game for Tim Crabtree","1995NYA.EVA.regular.comment.csv",7
"NYA199506240",16,"Debut game for Angel Martinez","1995NYA.EVA.regular.comment.csv",8
"NYA199507150",69,"$the ball struck 2B umpire Dale Ford who was positioned on the infield in front of 2B; the ball was dead on the umpire interference, Chuck Knoblauch was awarded 2B and Rich Becker 1B; Pat Meares was erroneously allowed to score, even though he was not forced to advance","1995NYA.EVA.regular.comment.csv",9
"NYA199507170",58,"game called for rain","1995NYA.EVA.regular.comment.csv",10
"NYA199507182",92,"Debut game for Matt Karchner","1995NYA.EVA.regular.comment.csv",11
"NYA199508010",62,"IPHR","1995NYA.EVA.regular.comment.csv",12
"NYA199508080",41,"ej,regap101,M,koscg901,Call at 1B (bumped umpire) Orioles manager Phil Regan ejected by 1B umpire Greg Kosc after bumping the umpire during an argument","1995NYA.EVA.regular.comment.csv",13
"NYA199508090",68,"ej,andeb001,P,koscg901,Called third strike Brady Anderson ejected by HP umpire Greg Kosc","1995NYA.EVA.regular.comment.csv",14
"NYA199508110",34,"ej,hargm001,M,cousd901,Balls and strikes ej,vizqo001,P,cousd901,Balls and strikes Omar Vizquel and Indians manager Mike Hargrove ejected by HP umpire Derryl Cousins","1995NYA.EVA.regular.comment.csv",15
"NYA199508110",61,"$fan interference","1995NYA.EVA.regular.comment.csv",16
"NYA199508290",72,"ej,davic001,P,voltv901,Called third strike Chili Davis ejected by HP umpire Vic Voltaggio","1995NYA.EVA.regular.comment.csv",17
"NYA199509030",27,"IPHR","1995NYA.EVA.regular.comment.csv",18
"NYA199509030",86,"Debut game for Ruben Rivera","1995NYA.EVA.regular.comment.csv",19
"NYA199509040",35,"Debut game for Jim Mecir","1995NYA.EVA.regular.comment.csv",20
"NYA199509040",62,"Debut game for Scott Davison","1995NYA.EVA.regular.comment.csv",21
"NYA199509040",84,"Debut game for Jorge Posada","1995NYA.EVA.regular.comment.csv",22
"NYA199509080",61,"Debut game for Scott Hatteberg","1995NYA.EVA.regular.comment.csv",23
