"NYN198610120",26,"$Mike Scott called for obstruction; he ran to field the ball, gave way to Glenn Davis, then tripped Wally Backman"FILENAME_TX","LINE_NUMBER_CT"

"HOU198610150",10,"$missed squeeze"1986NLCS.EVE.post.comment.csv",2

"HOU198610150",105,"$the ball struck the LF pole"1986NLCS.EVE.post.comment.csv",3

