"TEX200004030",67,"Debut game for Kelly Wunsch"FILENAME_TX","LINE_NUMBER_CT"

"TEX200004170",91,"odd play, disputed, but this is correct, Alicea not run"2000TEX.EVA.regular.comment.csv",2

"TEX200004190",69,"DV moved this sub down one batter"2000TEX.EVA.regular.comment.csv",3

"TEX200004230",18,"Debut game for Mike Lamb"2000TEX.EVA.regular.comment.csv",4

"TEX200004240",0,"Debut for umpire Pat Spieler"2000TEX.EVA.regular.comment.csv",5

"TEX200005180",78,"FLE2 somewhere in this inning"2000TEX.EVA.regular.comment.csv",6

"TEX200005210",17,"need FLE3 somewhere in this inning"2000TEX.EVA.regular.comment.csv",7

"TEX200005210",45,"pitcher's interference"2000TEX.EVA.regular.comment.csv",8

"TEX200006030",1,"Debut game for Nelson Figueroa"2000TEX.EVA.regular.comment.csv",9

"TEX200006060",53,"DV: need one this inning"2000TEX.EVA.regular.comment.csv",10

"TEX200006200",14,"Debut game for Chad Moeller"2000TEX.EVA.regular.comment.csv",11

"TEX200006210",79,"DV: need one this inning"2000TEX.EVA.regular.comment.csv",12

"TEX200006210",83,"ej,ortid001,P,wintm901,Balls and strikes David Ortiz ejected by HP umpire Mike Winters"2000TEX.EVA.regular.comment.csv",13

"TEX200006220",72,"DWS: this play appears to be correct"2000TEX.EVA.regular.comment.csv",14

"TEX200006230",36,"IPHR"2000TEX.EVA.regular.comment.csv",15

"TEX200006240",77,"DWS: originally scored E1"2000TEX.EVA.regular.comment.csv",16

"TEX200007030",28,"ej,oatej101,M,randt901,Balls and strikes $Rangers manager Oates ejected by HP umpire for arguing balls and strikes while Chavez was at bat"2000TEX.EVA.regular.comment.csv",17

"TEX200007070",25,"originally scored E6"2000TEX.EVA.regular.comment.csv",18

"TEX200007240",3,"$Greg Vaughn called for interference when his bat struck Ivan Rodriguez thumb; severly broken bone puts IRod out for season"2000TEX.EVA.regular.comment.csv",19

"TEX200007240",83,"Angels use 5-man infield as Erstad comes in from LF"2000TEX.EVA.regular.comment.csv",20

"TEX200007240",84,"balk called to end game, then reversed $back to regular fielding configuration"2000TEX.EVA.regular.comment.csv",21

"TEX200007280",66,"$Crabtree threw a chest-high fastball inside to Gonzalez, who gestured angrily at the pitcher and took a few steps toward the mound; he was restrained by Haselman; dugouts & bullpens emptied"2000TEX.EVA.regular.comment.csv",22

"TEX200007290",69,"Debut game for B.J. Waszgis"2000TEX.EVA.regular.comment.csv",23

"TEX200007300",79,"ej,higgb001,P,wintm901,Balls and strikes BObby Higginson ejected by HP umpire Mike Winters"2000TEX.EVA.regular.comment.csv",24

"TEX200008120",13,"$25 game hitting streak for Kapler"2000TEX.EVA.regular.comment.csv",25

"TEX200008160",1,"Debut game for Brian Sikorski"2000TEX.EVA.regular.comment.csv",26

"TEX200008300",72,"ej,palmr001,P,wendh902,Balls and strikes Rafael Palmeiro ejected by HP umpire Hunter Wendelstedt"2000TEX.EVA.regular.comment.csv",27

"TEX200009121",31,"$Conine left with mild sprain of left ankle which happened in first while running out a popup"2000TEX.EVA.regular.comment.csv",28

"TEX200009220",60,"ej,cataf001,P,dimum901,Call at 1B (Threw helmet) Frank Catalanotto ejected by HP umpire Mike Dimuro"2000TEX.EVA.regular.comment.csv",29

"TEX200009230",49,"$Palmeiro's 400th career homer"2000TEX.EVA.regular.comment.csv",30

