"SLN197704170",13,"$Rennie Stennett rounded 1B too far","FILENAME_TX","LINE_NUMBER_CT"
"SLN197704300",22,"Willie Montanez left with pulled groin","1977SLN.EVN.regular.comment.csv",2
"SLN197705060",67,"ej,anduj001,P,engeb901,Bench-clearing brawl ej,freer101,P,engeb901,Bench-clearing brawl $Cesar Cedeno, hit on the left arm, charged the mound; both benches cleared; catcher Ted Simmons jumped on Cedeno; a 10-minute brawl ensued; Astros coach Mel Wright had his glasses broken; Joaquin Andujar and Roger Freed ejected by HP umpire Bob Engel","1977SLN.EVN.regular.comment.csv",3
"SLN197705120",26,"ej,brocl102,P,colon901,Call at 2B Lou Brock ejected by 2B umpire Nick Colosi","1977SLN.EVN.regular.comment.csv",4
"SLN197705220",22,"$misplay at 1B caused Willie McCovey to run to 2B","1977SLN.EVN.regular.comment.csv",5
"SLN197706060",55,"ej,dennj001,P,quicj901,Balls and strikes (Charged umpire) John Denny ejected by HP umpire Jim Quick","1977SLN.EVN.regular.comment.csv",6
"SLN197706080",0,"rain delay sometime during game","1977SLN.EVN.regular.comment.csv",7
"SLN197706110",15,"ej,sosae101,P,mcshj901,Fighting ej,dennj001,P,mcshj901,Fighting $Reggie Smith charged the mound because he thought John Denny was throwing at him; they fought and both benches cleared; Elias Sosa and John Denny ejected by HP umpire John McSherry","1977SLN.EVN.regular.comment.csv",8
"SLN197706110",26,"Burt Hooton left with unknown injury","1977SLN.EVN.regular.comment.csv",9
"SLN197706281",61,"Buddy Schultz left with unknown injury","1977SLN.EVN.regular.comment.csv",10
"SLN197706290",69,"ej,rappv801,N,rungp901,Balls and strikes $St. Louis manager Rapp ejected by plate ump Runge for arguing balls and strikes","1977SLN.EVN.regular.comment.csv",11
"SLN197707230",48,"$Roger Metzger called for interference","1977SLN.EVN.regular.comment.csv",12
"SLN197707250",16,"Ken Reitz hit on left wrist","1977SLN.EVN.regular.comment.csv",13
"SLN197708130",7,"Heity Cruz with left rib cage bruise","1977SLN.EVN.regular.comment.csv",14
"SLN197708220",29,"Debut game for Ken Oberkfell","1977SLN.EVN.regular.comment.csv",15
"SLN197709130",47,"Bob Forsch left with unknown injury","1977SLN.EVN.regular.comment.csv",16
"SLN197709152",25,"Debut game for Taylor Duncan","1977SLN.EVN.regular.comment.csv",17
"SLN197709152",68,"$Miguel Dilone called for interference for being out of batter's box","1977SLN.EVN.regular.comment.csv",18
"SLN197709160",15,"Jerry Mumphrey left with sprained right ankle","1977SLN.EVN.regular.comment.csv",19
"SLN197709180",30,"Debut game for Manny Seoane","1977SLN.EVN.regular.comment.csv",20
"SLN197709180",60,"Debut game for Jim Morrison","1977SLN.EVN.regular.comment.csv",21
"SLN197709270",0,"ej,dennj001,P,rungp901,Refusing to stop talking to fans before game John Denny ejected by 1B umpire Paul Runge for refusing to stop talking to fans before the game","1977SLN.EVN.regular.comment.csv",22
