"DET191904260",43,"Advancement of Smith on Gardner's hit uncertain","FILENAME_TX","LINE_NUMBER_CT"
"DET191904290",27,"Sacrifice with pitcher up next","1919DET.EVA.regular.comment.csv",2
"DET191904290",48,"First hit of Cicotte","1919DET.EVA.regular.comment.csv",3
"DET191905170",14,"Bush dropped pop fly but forced out runner","1919DET.EVA.regular.comment.csv",4
"DET191905170",62,"Cobb called off Ellison but could not catch ball He then threw wide to first base","1919DET.EVA.regular.comment.csv",5
"DET191905170",65,"Batter ran into 1st baseman preventing him a throw to 3rd","1919DET.EVA.regular.comment.csv",6
"DET191905170",67,"Batter hit ball toward first and hit it again running","1919DET.EVA.regular.comment.csv",7
"DET191905180",52,"Leonard threw wild to 3rd after the catch","1919DET.EVA.regular.comment.csv",8
"DET191905180",69,"$ball caromed off foot of 2B to LF who threw to 3rd to get the batter","1919DET.EVA.regular.comment.csv",9
"DET191905190",67,"Rice tried for a shoestring catch","1919DET.EVA.regular.comment.csv",10
"DET191906021",25,"$off Ehmke's right foot","1919DET.EVA.regular.comment.csv",11
"DET191906021",47,"$the Tigers kicked at the decision of Dineen","1919DET.EVA.regular.comment.csv",12
"DET191906021",58,"$Young misplayed Cobb's throw; Bush injured his right hand while retrieving the ball, took time and then resumed play","1919DET.EVA.regular.comment.csv",13
