"SLA192404230",0,"Ideal weather","FILENAME_TX","LINE_NUMBER_CT"
"SLA192404230",7,"1-handed stab $The band struck up and the crowd cheered wildly as Sisler stepped to the plate.","1924SLA.EVA.regular.comment.csv",2
"SLA192404230",48,"McClellan & Barrett let it fall between them","1924SLA.EVA.regular.comment.csv",3
"SLA192404230",56,"Over Barrett's head","1924SLA.EVA.regular.comment.csv",4
"SLA192404230",59,"Sensational leaping catch","1924SLA.EVA.regular.comment.csv",5
"SLA192404230",64,"Bad hop to Mostil","1924SLA.EVA.regular.comment.csv",6
"SLA192404230",77,"Crouse threw high, into CF; Mostil fumbled","1924SLA.EVA.regular.comment.csv",7
"SLA192404240",1,"Knocked down the drive","1924SLA.EVA.regular.comment.csv",8
"SLA192404240",4,"Stole on a pitchout","1924SLA.EVA.regular.comment.csv",9
"SLA192404240",15,"Running 1-handed catch","1924SLA.EVA.regular.comment.csv",10
"SLA192404240",20,"Hit on left shoulder","1924SLA.EVA.regular.comment.csv",11
"SLA192404240",33,"Scratch hit off Robertson's glove","1924SLA.EVA.regular.comment.csv",12
"SLA192404240",53,"Squeeze play; Sheely's threw home late","1924SLA.EVA.regular.comment.csv",13
"SLA192404240",64,"Failed hit & run","1924SLA.EVA.regular.comment.csv",14
"SLA192404250",26,"Past McManus","1924SLA.EVA.regular.comment.csv",15
"SLA192404250",28,"Williams fumbled May have been S7.3-H;2-H(E7)(NR)(UR);B-2","1924SLA.EVA.regular.comment.csv",16
"SLA192404250",34,"Delayed steal","1924SLA.EVA.regular.comment.csv",17
"SLA192404250",35,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",18
"SLA192404250",44,"Great play","1924SLA.EVA.regular.comment.csv",19
"SLA192404250",46,"To the flagpole Voigt's only career hit","1924SLA.EVA.regular.comment.csv",20
"SLA192404250",56,"Delayed steal","1924SLA.EVA.regular.comment.csv",21
"SLA192404260",7,"Lutzke thought the ball would roll foul","1924SLA.EVA.regular.comment.csv",22
"SLA192404260",23,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",23
"SLA192404260",40,"Robbed of a double","1924SLA.EVA.regular.comment.csv",24
"SLA192404260",60,"Tobin knocked Sewell down on his way to 3B and the easy grounder went for a single.  Speaker's claim of interference was disallowed by Ump Ormsby.","1924SLA.EVA.regular.comment.csv",25
"SLA192404260",73,"Brilliant stop of hard smash","1924SLA.EVA.regular.comment.csv",26
"SLA192404260",76,"Sewell dropped Stephenson's high toss to 2B","1924SLA.EVA.regular.comment.csv",27
"SLA192404260",79,"Stephenson tagged Sisler","1924SLA.EVA.regular.comment.csv",28
"SLA192404260",84,"Updated by Wayne Townsend, 1/8/06.","1924SLA.EVA.regular.comment.csv",29
"SLA192404270",3,"Off Bayne's shins","1924SLA.EVA.regular.comment.csv",30
"SLA192404270",8,"Vangilder dropped Severeid's return throw","1924SLA.EVA.regular.comment.csv",31
"SLA192404270",17,"Jacobson fumbled","1924SLA.EVA.regular.comment.csv",32
