"BOS201310130",67,"$into the Red Sox bullpen; Torii Hunter tumbled over the wall into the bullpen and was stunned momentarily","FILENAME_TX","LINE_NUMBER_CT"
"DET201310150",12,"$17-minute delay due to a power failure","2013ALCS.EVE.post.comment.csv",2
"DET201310170",17,"$Crushing collision as David Ross ran into Alex Avila, who held the ball for the out, but left game two innings later with a strained knee","2013ALCS.EVE.post.comment.csv",3
"DET201310170",73,"$with no one covering 3B, Will Middlebrooks ran from 1B to 3B; catcher Brayan Pena was late getting to the bag and the throw from Prince Fielder was behind Pena; Pena spun his glove into foul territory as he made a 360 degree turn to get to the bag; 3B umpire Rob Drake was in close to make the call and Pena's glove struck Drake, preventing Pena from attempting a tag on Middlebrooks, who beat the play to the bag","2013ALCS.EVE.post.comment.csv",4
"BOS201310190",23,"replay,3,pedrd001,BOS,westj901,BOS07,F,N,I,,H $Dustin Pedroia hit a fly ball on the first pitch down the LF line that curved just to the foul side of the pole; it was ruled a foul ball by LF umpire Alfonzo Marquez; the Red Sox asked about the call so crew chief Joe West watched the replay and upheld the call","2013ALCS.EVE.post.comment.csv",5
"BOS201310190",43,"$Dustin Pedroia looked at Prince Fielder running from 3B and started to throw to HP; Pedroia lunged to tag Victor Martinez who backed a few feet onto the infield grass trying to avoid the tag; Pedroia then threw to Jarrod Saltalamacchia, who ran up the 3B line chasing Fielder; Fielder tried to make contact with Xander Bogaerts, who ducked out of the way; Salty tagged Fielder as the latter dove for the bag; Fielder landed about three feet short of the bag and Salty tagged and fell over Fielder","2013ALCS.EVE.post.comment.csv",6
