"CIN194204140",24,"$Eddie Joost called for interference for running into his own batted ball"FILENAME_TX","LINE_NUMBER_CT"

"CIN194204270",80,"$Lou Novikoff injured his leg falling after making the catch"1942CIN.EVN.regular.comment.csv",2

"CIN194204280",15,"$Whit Wyatt left with injured arm"1942CIN.EVN.regular.comment.csv",3

"CIN194205010",0,"$umpire Lou Jorda missed the game with the flu; Chuck Klein of the Phillies and Bucky Walters of the Reds umpired on the bases to start the game"1942CIN.EVN.regular.comment.csv",4

"CIN194205010",6,"umpchange,1,ump1b,conlj102 umpchange,1,ump3b,(None) $umpire Jocko Conlan arrived from Pittsburgh by plane and relieved the two players of their umpiring duties"1942CIN.EVN.regular.comment.csv",5

"CIN194205020",68,"$outfielder Earl Naylor pitching"1942CIN.EVN.regular.comment.csv",6

"CIN194205030",62,"$off the LF pole"1942CIN.EVN.regular.comment.csv",7

"CIN194205250",0,"$Frank McCormick's 652 consecutive games played streak ended because of an injured back"1942CIN.EVN.regular.comment.csv",8

"CIN194205250",2,"ej,davis101,C,stewb901,Interference call Pirates Coach Spud Davis ejected by HP umpire Bill Stewart when Alf Anderson called for interference"1942CIN.EVN.regular.comment.csv",9

"CIN194205250",39,"$Maurice Van Robays rounded 2B too far"1942CIN.EVN.regular.comment.csv",10

"CIN194205302",59,"$Mike McCormick left with fractured left ankle suffered on slide into 2B"1942CIN.EVN.regular.comment.csv",11

"CIN194205302",68,"$Harry Craft injured in collision with Gee Walker"1942CIN.EVN.regular.comment.csv",12

"CIN194205302",73,"$Gee Walker left groggy due to collision in previous inning 12 count"1942CIN.EVN.regular.comment.csv",13

"CIN194205311",42,"$Babe Phelps spiked on play at HP"1942CIN.EVN.regular.comment.csv",14

"CIN194206020",66,"no SH credited in official totals"1942CIN.EVN.regular.comment.csv",15

"CIN194206071",58,"rain started"1942CIN.EVN.regular.comment.csv",16

"CIN194206072",39,"ej,stenc101,M,jordl901,Home run call ej,westm102,P,jordl901,Home run call $the ball caromed of the bleacher seats back onto the field; Max West and Braves Manager Casey Stengel ejected by 1B umpire Lou Jorda"1942CIN.EVN.regular.comment.csv",17

"CIN194206100",59,"$Eddie Joost failed to cover 2B"1942CIN.EVN.regular.comment.csv",18

"CIN194206300",54,"ej,dalld101,P,mageg901,Balls and strikes ej,wilsj105,M,mageg901,Balls and strikes Dom Dallessandro and Cubs Manager Jimmie Wilson ejected by HP umpire George Magerkurth"1942CIN.EVN.regular.comment.csv",19

"CIN194207100",37,"ej,corrr101,C,barrg901,Call at 1B Dodgers Coach Red Corriden ejected by 1B umpire George Barr"1942CIN.EVN.regular.comment.csv",20

"CIN194207122",2,"$Danny Murtaugh rounded 1B too far"1942CIN.EVN.regular.comment.csv",21

"CIN194207122",37,"ej,lobeh101,M,stewb901,Interference call $Phillies manager Lobert ejected by HP umpire Bill Stewart for arguing interference call on Warren"1942CIN.EVN.regular.comment.csv",22

"CIN194207140",34,"$Harry Craft injured in collision with Max Marshall"1942CIN.EVN.regular.comment.csv",23

"CIN194207191",14,"$Babe Barna left with injured left leg"1942CIN.EVN.regular.comment.csv",24

"CIN194207191",35,"$onto the LF roof"1942CIN.EVN.regular.comment.csv",25

"CIN194207192",0,"$the umpires worked without suit coats"1942CIN.EVN.regular.comment.csv",26

"CIN194207192",20,"$Al Lakeman left with an injured knee"1942CIN.EVN.regular.comment.csv",27

"CIN194208091",33,"$Lou Novikoff struck on the left hand and would later leave"1942CIN.EVN.regular.comment.csv",28

"CIN194208091",41,"$rain started to fall"1942CIN.EVN.regular.comment.csv",29

"CIN194208091",123,"1:00 rain delay"1942CIN.EVN.regular.comment.csv",30

"CIN194208092",42,"$Game called for darkness at 8:41 PM; by rule, lights could not be turned on after game started"1942CIN.EVN.regular.comment.csv",31

"CIN194208302",62,"$Al Glossop collided with Lonny Frey at 1B and left with a possible fractured left wrist"1942CIN.EVN.regular.comment.csv",32

"CIN194208310",67,"late throw to second"1942CIN.EVN.regular.comment.csv",33

"CIN194209060",57,"$off the LF pole"1942CIN.EVN.regular.comment.csv",34

"CIN194209071",41,"$Bill Nicholson fell rounding 1B on an apparent double"1942CIN.EVN.regular.comment.csv",35

