"SLA192004220",55,"Bayne pitched 2 balls to O'Neill and was relieved by Sanders","FILENAME_TX","LINE_NUMBER_CT"
"SLA192005280",45,"Cobb and Flagstead got mixed up on fly","1920SLA.EVA.regular.comment.csv",2
"SLA192006030",17,"Leibold 'put out of game' for arguing 3rd strike with Ump Moriarity.","1920SLA.EVA.regular.comment.csv",3
"SLA192006080",28,"$Play at plate was late but Gedeon stopped running.","1920SLA.EVA.regular.comment.csv",4
"SLA192006100",23,"Schacht entered with 2-2 count on Sisler.","1920SLA.EVA.regular.comment.csv",5
"SLA192006110",80,"Milan injured ankle.","1920SLA.EVA.regular.comment.csv",6
"SLA192006160",73,"$Gedeon knocked unconscious when hit by pitch","1920SLA.EVA.regular.comment.csv",7
"SLA192006190",64,"Hidden ball trick.?!","1920SLA.EVA.regular.comment.csv",8
"SLA192006230",76,"$Shawkey fainted and was removed with 2 balls on Austin.","1920SLA.EVA.regular.comment.csv",9
"SLA192006292",5,"Austin ejected as Brown's protest the call at home.","1920SLA.EVA.regular.comment.csv",10
"SLA192007280",15,"Meusel 'ran away from Smith's drive into the sun","1920SLA.EVA.regular.comment.csv",11
"SLA192007280",32,"Austin fanned on squeeze attempt","1920SLA.EVA.regular.comment.csv",12
"SLA192007280",47,"remainder from St. Louis Post","1920SLA.EVA.regular.comment.csv",13
"SLA192007291",58,"Austin and Severeid H&R","1920SLA.EVA.regular.comment.csv",14
"SLA192007291",73,"$Fewster caught in rundown - returning to 3rd Peckinpaugh  was also there and was tagged out.","1920SLA.EVA.regular.comment.csv",15
"SLA192007300",68,"$Gerber thought ball was foul and didn't run.","1920SLA.EVA.regular.comment.csv",16
"SLA192008030",45,"Vangilder entered with 1-1 count on Shannon.","1920SLA.EVA.regular.comment.csv",17
"SLA192008100",24,"Shocker ejected by Nallin for benchjockying.","1920SLA.EVA.regular.comment.csv",18
"SLA192008110",9,"$Severeid hurt finger.","1920SLA.EVA.regular.comment.csv",19
"SLA192009091",31,"O'Neill overslid base after Smith lost ball in sun.","1920SLA.EVA.regular.comment.csv",20
"SLA192009091",55,"Dropped fly.","1920SLA.EVA.regular.comment.csv",21
"SLA192009091",63,"Brower hit on hand by pitch but Hildebrand said he swung.","1920SLA.EVA.regular.comment.csv",22
"SLA192009111",35,"$Judge hit by own batted ball","1920SLA.EVA.regular.comment.csv",23
"SLA192009111",69,"Milan threw wildly to third.","1920SLA.EVA.regular.comment.csv",24
"SLA192009180",37,"Broken hit and run.","1920SLA.EVA.regular.comment.csv",25
"SLA192009200",73,"rest from St. Louis Post","1920SLA.EVA.regular.comment.csv",26
"SLA192009270",2,"fans gave  Speaker huge floral horseshoe","1920SLA.EVA.regular.comment.csv",27
"SLA192009270",14,"Sewell and O'Neill H&R, Sewell missed second on way back to 1B","1920SLA.EVA.regular.comment.csv",28
"SLA192009270",33,"Johnston run back to 3B-his bag so Sewell out","1920SLA.EVA.regular.comment.csv",29
"SLA192009290",30,"$Rain begins","1920SLA.EVA.regular.comment.csv",30
