"CLE201704140",56,"$originally scored a single, changed to error on 04-19-2017","FILENAME_TX","LINE_NUMBER_CT"
"CLE201704140",74,"replay,9,iglej001,DET,demud901,CLE08,,N,U,,Q $when a security guard appeared to touch the ball in foul territory, Tigers manager Brad Ausmus talked with crew chief Dana DeMuth about interference and a double for Jose Iglesias; DeMuth requested a rules check and it was determined that the play was not reviewable","2017CLE.EVA.regular.comment.csv",2
"CLE201704150",81,"replay,8,almoa001,CLE,demud901,CLE08,,Y,M,CLE,C $when Abraham Almonte was called out at 1B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay","2017CLE.EVA.regular.comment.csv",3
"CLE201704160",52,"replay,7,iglej001,DET,demud901,CLE08,,Y,M,CLE,I $when Jose Iglesias was ruled to have been hit by a pitch, Indians manager Terry Francona challenged the ruling; the call was overturned by replay to a ball","2017CLE.EVA.regular.comment.csv",4
"CLE201704160",53,"replay,7,iglej001,DET,demud901,CLE08,,N,M,DET,A $when Andrew Romine was called out at 2B, Tigers manager Brad Ausmus challenged the ruling; the call was upheld by replay","2017CLE.EVA.regular.comment.csv",5
"CLE201704160",62,"Tigers first baseman Miguel Cabrera left the game due to an injured back","2017CLE.EVA.regular.comment.csv",6
"CLE201704250",59,"$Teoscar Hernandez and Jose Altuve collided","2017CLE.EVA.regular.comment.csv",7
"CLE201704270",6,"replay,1,gurry001,HOU,reynj901,CLE08,,N,M,HOU,D $when Abraham Almonte was ruled to have caught the fly ball against the wall, Astros manager A.J. Hinch challenged the ruling; the call was upheld by replay","2017CLE.EVA.regular.comment.csv",8
"CLE201704270",19,"$originally scored as wild pitch and runner out, but by rule it is not a wild pitch, which was removed on 04-27-2017","2017CLE.EVA.regular.comment.csv",9
"CLE201704280",30,"replay,4,ramij003,CLE,mealj901,CLE08,O,Y,U,,H $Jose Ramirez' fly to LF struck the metal railing behind the padded wall and caromed back onto the field; the ball was ruled in play but crew chief Jerry Meals requested a review; the call was overturned to a home run by replay","2017CLE.EVA.regular.comment.csv",10
"CLE201705130",19,"replay,3,grosr001,MIN,culbf901,CLE08,,Y,M,CLE,A $when Brian Dozier was called safe at 2B, Indians manager Tarry Francona challenged the ruling; the call was overturned by replay","2017CLE.EVA.regular.comment.csv",11
"CLE201705130",22,"replay,3,santc002,CLE,culbf901,CLE08,O,N,U,,H $Carlos Santana's fly to right center was almost caught by Byron Buxton above the top of the wall; the ball caromed back onto the field; crew chief Fieldin Culbreth requested a review, which upheld the call of ball in play","2017CLE.EVA.regular.comment.csv",12
"CLE201705150",42,"Indians pitcher Carlos Carrasco left the game due to an injured chest","2017CLE.EVA.regular.comment.csv",13
"CLE201705150",48,"Indians right fielder Abraham Almonte left the game due to an injured arm","2017CLE.EVA.regular.comment.csv",14
"CLE201705170",31,"replay,3,santc002,CLE,cedeg901,CLE08,,Y,M,CLE,I $when Carlos Santana was ruled not to have been hit by a pitch, Indians manager Terry Francona challenged the call; the ruling was overturned by replay","2017CLE.EVA.regular.comment.csv",15
"CLE201705240",32,"replay,4,perer003,CLE,kellj901,CLE08,F,N,U,,H $Roberto Perez' fly to LF landed just outside the pole and was ruled foul; crew chief Jeff Kellogg requested a review, which upheld the call","2017CLE.EVA.regular.comment.csv",16
"CLE201705240",75,"replay,9,hamib001,CIN,kellj901,CLE08,,Y,M,CIN,C $when Billy Hamilton was called out at 1B, Reds manager Bryan Price challenged the ruling; the call was overturned by replay","2017CLE.EVA.regular.comment.csv",17
"CLE201705260",61,"$run scoring from third was originally scored as unearned and the run from first as earned; those were reversed on 05-27-2017","2017CLE.EVA.regular.comment.csv",18
"CLE201705270",4,"ej,hosme001,P,welkb901,Checked swing ej,yoste001,M,welkb901,Checked swing Eric Hosmer and Royals Manager Ned Yost ejected by HP umpire Bill Welke","2017CLE.EVA.regular.comment.csv",19
"CLE201705270",38,"replay,4,kipnj001,CLE,marqa901,CLE08,F,N,U,,H $Jason Kipnis' fly to RF was ruled foul but acting crew chief Alfonzo Marquez requested a review; the call was upheld by replay","2017CLE.EVA.regular.comment.csv",20
"CLE201705300",11,"replay,2,joycm001,OAK,hallt901,CLE08,,Y,M,CLE,C $when Matt Joyce was called safe at 1B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay","2017CLE.EVA.regular.comment.csv",21
"CLE201706010",31,"replay,5,pindc001,OAK,hallt901,CLE08,,Y,M,CLE,I $when Chad Pinder was ruled to have been hit by a pitch, Indians manager Terry Francona challenged the ruling; the call was overturned by replay to a foul bunt","2017CLE.EVA.regular.comment.csv",22
"CLE201706010",47,"replay,6,zimmb001,CLE,hallt901,CLE08,,Y,M,CLE,A replay,6,zimmb001,CLE,hallt901,CLE08,,N,M,OAK,C $when Carlos Santana was called out at HP, Indians manager Terry Francona challenged the ruling; the call was overturned by replay; Athletics manager Bob Melvin challenged the safe call at 1B on Bradley Zimmer; that call was upheld by replay","2017CLE.EVA.regular.comment.csv",23
"CLE201706090",59,"Jose Abreu left with injured leg","2017CLE.EVA.regular.comment.csv",24
"CLE201706090",77,"replay,9,cabrm002,CHA,everm901,CLE08,,N,M,CHA,C $when Melky Cabrera was called out at 1B, White Sox manager Rick Renteria challenged the ruling; the call was upheld by replay to end the game","2017CLE.EVA.regular.comment.csv",25
"CLE201706110",23,"$Francisco Lindor called for interference for running into his own bunt","2017CLE.EVA.regular.comment.csv",26
"CLE201706110",41,"White Sox center fielder Leury Garcia left the game due to an injured hand","2017CLE.EVA.regular.comment.csv",27
"CLE201706110",50,"replay,6,encae001,CLE,everm901,CLE08,F,N,U,,H $Edwin Encarnacion's fly to LF was ruled foul; crew chief Mike Everett requested a review, which upheld the call","2017CLE.EVA.regular.comment.csv",28
"CLE201706140",24,"replay,3,zimmb001,CLE,nauep901,CLE08,,Y,M,LAN,C $when Bradley Zimmer was called safe at 1B, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay","2017CLE.EVA.regular.comment.csv",29
"CLE201706140",62,"replay,8,grany001,LAN,nauep901,CLE08,,Y,M,LAN,C $when Cody Bellinger was called out at 2B, Dodgers manager Dave Roberts challenged the ruling; the call was oveturned by replay, thus putting a run on the board","2017CLE.EVA.regular.comment.csv",30
"CLE201706150",20,"replay,2,encae001,CLE,nauep901,CLE08,,N,M,CLE,A $when Jose Ramirez was called out at 3B, Indians manager Terry Francona challenged the ruling; the call was upheld by replay","2017CLE.EVA.regular.comment.csv",31
"CLE201706230",64,"$Indians challenged call that Santana was out at first to complete double play; call was overturned - forceout","2017CLE.EVA.regular.comment.csv",32
"CLE201706250",40,"Indians Austin Jackson left with injured leg","2017CLE.EVA.regular.comment.csv",33
"CLE201706250",72,"$Twins challenged call of hit by pitch; call upheld  - hit by pitch","2017CLE.EVA.regular.comment.csv",34
"CLE201706260",19,"$Indians challenged call of safe on double, claiming his foot came off the bag; call overturned to double and out","2017CLE.EVA.regular.comment.csv",35
"CLE201707040",63,"$Padres challenged call of out at home; call was upheld  - out at home","2017CLE.EVA.regular.comment.csv",36
"CLE201707080",24,"$Indians Jason Kipnis left with injured leg","2017CLE.EVA.regular.comment.csv",37
"CLE201707080",48,"$Tigers challenged that pickoff attempt after 2nd pitch had retired Ramirez; call was uphheld - no out, just pickoff attempt","2017CLE.EVA.regular.comment.csv",38
"CLE201707090",20,"$Indians Lonnie Chisenhall left with injured leg","2017CLE.EVA.regular.comment.csv",39
"CLE201707250",73,"$Indians challenged call that Gonzalez was out stealing; call was upheld - caught stealing","2017CLE.EVA.regular.comment.csv",40
"CLE201707260",34,"$Indians challenged call that Revere was out at home; call was confirmed - out","2017CLE.EVA.regular.comment.csv",41
"CLE201707270",39,"$Indians challenged call that Cron was out at home; call was upheld - out","2017CLE.EVA.regular.comment.csv",42
"CLE201708080",28,"$Michael Brantley left with an injured ankle","2017CLE.EVA.regular.comment.csv",43
"CLE201708210",39,"$Red Sox challenged call that Betts was out on attempted steal of 2nd; call was overturned - stolen base","2017CLE.EVA.regular.comment.csv",44
"CLE201708210",55,"umpchange,7,umphome,porta901 umpchange,7,ump2b,(None) $Plate umpire Wendelstedt hit in mask by warmup pitch from Joe Kelly; he left after one more batter with 2b ump moving behind the plate; was was finished with 3 umpires","2017CLE.EVA.regular.comment.csv",45
"CLE201708210",55,"$Andrew Miller left with injured knee","2017CLE.EVA.regular.comment.csv",46
"CLE201708210",60,"$Carlos Santana left with injured back","2017CLE.EVA.regular.comment.csv",47
"CLE201708220",17,"$Indians challenged call that first pitch was a ball, claiming that it had hit Zimmer; call was overturned - hit by pitch","2017CLE.EVA.regular.comment.csv",48
"CLE201708220",23,"$Jason Kipnis left with injured leg","2017CLE.EVA.regular.comment.csv",49
"CLE201708220",49,"$Indians challenged call that Bradley was safe at home on Nunez's double; call was upheld - safe","2017CLE.EVA.regular.comment.csv",50
"CLE201708220",53,"$Jackie Bradley left with injured hand","2017CLE.EVA.regular.comment.csv",51
"CLE201708240",72,"$Mookie Betts left with injured knee","2017CLE.EVA.regular.comment.csv",52
"CLE201708240",75,"$Red Sox challenged call that Diaz was safe at 2nd; call was overturned - double and out trying to get back to 2nd","2017CLE.EVA.regular.comment.csv",53
"CLE201709090",48,"$Indians challenged call that 3rd pitch had missed Zimmer; call was overturned - hit by pitch","2017CLE.EVA.regular.comment.csv",54
"CLE201709100",37,"$Indians challenged call that Machado was safe at 2nd; call was upheld - double","2017CLE.EVA.regular.comment.csv",55
"CLE201709100",56,"$Bradley Zimmer left with injured hand","2017CLE.EVA.regular.comment.csv",56
"CLE201709110",55,"$Ramirez let go of bat and pulled hands to his body to avoid inside pitch, but ball hit ball and then his left forearm; original call was hit by pitch, but Tigers challenged that and it was overturned to foul ball; Erik Gonzalez had entered as pinch-runner, but when call wsa overturned, he became a pinch-hitter; Jose Ramirez left with injured arm","2017CLE.EVA.regular.comment.csv",57
"CLE201709130",11,"$umpires reviewed to be sure Bruce's ball was home run; call was upheld - home run","2017CLE.EVA.regular.comment.csv",58
"CLE201709130",28,"ej,mccaj001,P,wolcq901,Balls and strikes ej,ausmb001,M,wolcq901,Balls and strikes $McCann and Tigers manager Ausmus ejected by HP umpire Wolcott for arguing balls and strikes","2017CLE.EVA.regular.comment.csv",59
"CLE201709130",30,"$Plate umpire Wolcott hit by first pitch to Diaz; catcher missed it completely; MLB investigated and concluded that the Tigers did not intentionally attempt to injure Wolcott, who remained in game after attention from Cleveland trainer","2017CLE.EVA.regular.comment.csv",60
"CLE201709140",29,"$Lonnie Chisenhall left with injured leg","2017CLE.EVA.regular.comment.csv",61
"CLE201709140",45,"$Indians challenged call that Ramirez was out at 2nd; call was upheld - caught stealing","2017CLE.EVA.regular.comment.csv",62
"CLE201709160",31,"$fan interference","2017CLE.EVA.regular.comment.csv",63
"CLE201709170",4,"$umpires reviewed call that Lindor had homered on third pitch; cal was overturned - foul ball","2017CLE.EVA.regular.comment.csv",64
