"SFN199204270",47,"ej,bassk001,P,davib902,Called third strike Kevin Bass ejected by HP umpire Bob Davidson","FILENAME_TX","LINE_NUMBER_CT"
"SFN199204280",41,"Robby Thompson left with bad back","1992SFN.EVN.regular.comment.csv",2
"SFN199205030",59,"ej,branc001,P,froeb901,Intentional HBP Cliff Brantley ejected by HP Umpire Bruce Froemming","1992SFN.EVN.regular.comment.csv",3
"SFN199205160",7,"Willie McGee left with leg injury","1992SFN.EVN.regular.comment.csv",4
"SFN199206180",33,"ej,kimmb101,C,darlg901,Bench-clearing brawl ej,mcgrf001,P,darlg901,Charging mound ej,melej001,P,darlg901,Bench-clearing brawl ej,baked002,C,darlg901,Bench-clearing brawl ej,wilst002,P,darlg901,Intentional HBP $Trevor Wilson's pitch hit Fred McGriff on the leg; McGriff charged mound and Wilson threw his glove at the oncoming player; they wrestled, both benches emptied and a 15-minute brawl ensued; Gary Sheffield left with a left shoulder strain and McGriff suffered a muscle strain in his left rib cage; ejected by HP umpire Gary Darling: McGriff, Wilson, Giants coach Dusty Baker, Padres coach Bruce Kimm, Jose Melendez and Padres bullpen catcher Ron Ogelsby","1992SFN.EVN.regular.comment.csv",5
"SFN199206180",59,"ej,riddg801,M,darlg901,Intentional HBP ej,semif001,P,darlg901,Intentional HBP $both benches emptied again but no punches thrown; Frank Seminara and Padres manager Greg Riddoch ejected by HP umpire Gary Darling","1992SFN.EVN.regular.comment.csv",6
"SFN199207072",1,"Debut game for Jim Pena","1992SFN.EVN.regular.comment.csv",7
"SFN199207090",14,"Debut game for Greg Colbrunn","1992SFN.EVN.regular.comment.csv",8
"SFN199207100",60,"Debut game for Pat Rapp","1992SFN.EVN.regular.comment.csv",9
"SFN199207290",68,"fan interference","1992SFN.EVN.regular.comment.csv",10
"SFN199208021",3,"Mike Benjamin and Robby Thompson collide","1992SFN.EVN.regular.comment.csv",11
"SFN199208021",14,"Mike Benjamin left with blurry vision after collision in first inning","1992SFN.EVN.regular.comment.csv",12
"SFN199208022",4,"ej,crair101,M,darlg901,Call at 3B Giants manager Roger Craig ejected by 3B umpire Gary Darling","1992SFN.EVN.regular.comment.csv",13
"SFN199208120",6,"Willie McGee's ball richocheted off Pete Harnisch's leg","1992SFN.EVN.regular.comment.csv",14
"SFN199208200",4,"Willie McGee called out for running into his own batted ball","1992SFN.EVN.regular.comment.csv",15
"SFN199208200",65,"ej,clarw001,P,hohnb901,Call at 1B Will Clark ejected by 1B umpire Bill Hohn","1992SFN.EVN.regular.comment.csv",16
"SFN199209080",1,"Debut game for Doug Brocail","1992SFN.EVN.regular.comment.csv",17
"SFN199209100",21,"fan interference","1992SFN.EVN.regular.comment.csv",18
