"MLN195304140",0,"$First game at County Stadium and first in Milwaukee since 1901","FILENAME_TX","LINE_NUMBER_CT"
"MLN195304140",1,"check the fielding positions for all outfielders","1953MLN.EVN.regular.comment.csv",2
"MLN195304140",49,"to match daily/TSN, arbitrary 9 to 8","1953MLN.EVN.regular.comment.csv",3
"MLN195304140",53,"$Warren Spahn slipped and fell then threw late to 3B","1953MLN.EVN.regular.comment.csv",4
"MLN195304140",77,"$off Enos Slaughter's glove and over the fence","1953MLN.EVN.regular.comment.csv",5
"MLN195304250",7,"$off RF pole","1953MLN.EVN.regular.comment.csv",6
"MLN195305080",38,"$Frank Baumholtz crashed into the fence and collapsed","1953MLN.EVN.regular.comment.csv",7
"MLN195305101",33,"Good play","1953MLN.EVN.regular.comment.csv",8
"MLN195305101",37,"Good play","1953MLN.EVN.regular.comment.csv",9
"MLN195305101",45,"Over the low LF barrier","1953MLN.EVN.regular.comment.csv",10
"MLN195305101",54,"Good play","1953MLN.EVN.regular.comment.csv",11
"MLN195305101",67,"Over Hermanski","1953MLN.EVN.regular.comment.csv",12
"MLN195305101",70,"Good play","1953MLN.EVN.regular.comment.csv",13
"MLN195305101",74,"Into LF bleachers","1953MLN.EVN.regular.comment.csv",14
"MLN195305102",11,"Good play","1953MLN.EVN.regular.comment.csv",15
"MLN195305102",58,"Good play","1953MLN.EVN.regular.comment.csv",16
"MLN195305102",60,"Good play","1953MLN.EVN.regular.comment.csv",17
"MLN195305120",52,"to match daily/TSN, arbitrary 13 to 53","1953MLN.EVN.regular.comment.csv",18
"MLN195305130",18,"$Johnny Antonelli bruised a finger on bunt try","1953MLN.EVN.regular.comment.csv",19
"MLN195305140",6,"$Logan overslid second","1953MLN.EVN.regular.comment.csv",20
"MLN195305140",20,"ej,fitzj101,C,dascf901,Balls and strikes ej,hanef101,M,dascf901,Balls and strikes $Pirate coach Fitzpatrick ajected by HP umpire Dascoli from dugout for arguing balls and strikes while Logan batted; manager Haney charged out of dugout to argue and was also ejected by Dascoli","1953MLN.EVN.regular.comment.csv",21
"MLN195305150",36,"$linedrive off Bob Friend's glove","1953MLN.EVN.regular.comment.csv",22
