"MIL201804030",63,"$Brewers challenge call that Molina was safe at 2nd; call was upheld - stolen base","FILENAME_TX","LINE_NUMBER_CT"
"MIL201804050",57,"ej,shawt001,P,onorb901,Arguing called third strike $Travis Shaw ejected by plate umpire O'Nora for arguing called third strike","2018MIL.EVN.regular.comment.csv",2
"MIL201804060",60,"$Cubs challenged call that Cain's ball was fair; call was upheld - double","2018MIL.EVN.regular.comment.csv",3
"MIL201804070",33,"$Cubs challenged call that La Stella was out at home; call was upheld - out on fielder's choice","2018MIL.EVN.regular.comment.csv",4
"MIL201804080",5,"$Cubs challenged call that Cain was safe at second; call was overturned - caught stealing","2018MIL.EVN.regular.comment.csv",5
"MIL201804080",67,"$Brewers challenged call that Santana was out at first; call was upheld - ground out","2018MIL.EVN.regular.comment.csv",6
"MIL201804160",82,"$Reds challenged call that Braun was safe at first; call was overturned - ground out","2018MIL.EVN.regular.comment.csv",7
"MIL201804170",42,"$Mesoraco left game with injured wrist","2018MIL.EVN.regular.comment.csv",8
"MIL201804190",53,"$Odrisamer Despaigne left game with injured arm","2018MIL.EVN.regular.comment.csv",9
"MIL201804210",70,"$Originally scored as double, changed to error by left fielder on 04-25-2018, removing RBI and making run unearned","2018MIL.EVN.regular.comment.csv",10
"MIL201805040",42,"$Brewers challenged call that Cervelli was safe at 2nd; call was overturned - out trying to stretch","2018MIL.EVN.regular.comment.csv",11
"MIL201805080",3,"$Wade Miley left with injured side","2018MIL.EVN.regular.comment.csv",12
"MIL201805210",34,"$Brewers challenged call that Peralta was safe at first; call was overturned - double play","2018MIL.EVN.regular.comment.csv",13
"MIL201805210",52,"$Diamondbacks challenged call that Pina was safe on pickoff attempt after 4th pitch; call was upheld - safe on pickoff attempt","2018MIL.EVN.regular.comment.csv",14
"MIL201805220",63,"ej,counc001,M,herna901,Arguing balls and strikes $Brewers manager Craig Counsell ejected by plate umpire Angel Hernandez for arguing ball 4","2018MIL.EVN.regular.comment.csv",15
"MIL201805230",36,"$Diamondbacks challengd call that Bandy was safe at 3rd; call was upheld - out advancing","2018MIL.EVN.regular.comment.csv",16
"MIL201805240",62,"$originally scored as pickoff, changed to pickoff and caught stealing on 05-25-2018","2018MIL.EVN.regular.comment.csv",17
"MIL201805260",79,"$Brewers challenged call that Perez was out at first; call was overturned - safe on error","2018MIL.EVN.regular.comment.csv",18
"MIL201805270",34,"$Wilmer Flores left with an injured back","2018MIL.EVN.regular.comment.csv",19
"MIL201805270",39,"$Umpire review to check Confort's hit; call was overturned - double, not home run","2018MIL.EVN.regular.comment.csv",20
"MIL201805280",33,"$Originally scored as double, changed to E3 on 06-07-2018, making both runs unearned and removing 2 RBI","2018MIL.EVN.regular.comment.csv",21
"MIL201805280",58,"$Cardinals challenged call that Yelich was safe at 2nd; call was upheld - stolen base","2018MIL.EVN.regular.comment.csv",22
"MIL201805290",25,"$Tyler Saladino left with an injured ankle","2018MIL.EVN.regular.comment.csv",23
"MIL201805300",7,"$Cardinals challenged call that Yelich was safe on pickoff attempt; call wsa overturned - out on pickoff","2018MIL.EVN.regular.comment.csv",24
"MIL201806120",25,"$Run scored by Yelich originally unearned, changed to earned on 06-15-2018","2018MIL.EVN.regular.comment.csv",25
"MIL201806160",30,"$Phillies challenged call that Cain was safe at first on pickoff attempt; call was overturned - out on pickoff","2018MIL.EVN.regular.comment.csv",26
"MIL201806170",41,"$Phillies challenged call that Yelich was safe on throwing error; call was overturned - ground out","2018MIL.EVN.regular.comment.csv",27
"MIL201806210",40,"$Lorenzo Cain left with an injured leg","2018MIL.EVN.regular.comment.csv",28
"MIL201806220",5,"ej,phamt001,P,timmt901,Arguing called third strike $Tommy Pham ejected by plate umpire Timmons for arguing from dugout about strike 3 called on him two batters earlier","2018MIL.EVN.regular.comment.csv",29
"MIL201806230",6,"$Cardinals challenged call that Thames was safe at second; call was overturned - force out","2018MIL.EVN.regular.comment.csv",30
"MIL201806230",33,"$Lorenzo Cain left with an injured groin","2018MIL.EVN.regular.comment.csv",31
"MIL201806230",70,"$Cardinals challenged call that Perez was out at 1st on pickoff after 1st pitch; call was upheld - safe on pickoff attempt","2018MIL.EVN.regular.comment.csv",32
"MIL201806270",77,"$Royals challenged call that Braun was safe at first; call was overturned - out to complete double play","2018MIL.EVN.regular.comment.csv",33
"MIL201807020",18,"On-field Delay","2018MIL.EVN.regular.comment.csv",34
"MIL201807020",37,"Mound Visit","2018MIL.EVN.regular.comment.csv",35
"MIL201807020",42,"Twins challenged call that Villar was safe at first; call was upheld - single","2018MIL.EVN.regular.comment.csv",36
"MIL201807020",43,"Mound Visit","2018MIL.EVN.regular.comment.csv",37
"MIL201807020",51,"Mound Visit","2018MIL.EVN.regular.comment.csv",38
"MIL201807020",55,"Mound Visit","2018MIL.EVN.regular.comment.csv",39
"MIL201807020",62,"Mound Visit","2018MIL.EVN.regular.comment.csv",40
"MIL201807020",70,"Mound Visit","2018MIL.EVN.regular.comment.csv",41
"MIL201807020",77,"Mound Visit","2018MIL.EVN.regular.comment.csv",42
"MIL201807020",79,"Injury Delay","2018MIL.EVN.regular.comment.csv",43
"MIL201807020",84,"Mound Visit","2018MIL.EVN.regular.comment.csv",44
"MIL201807020",85,"Mound Visit","2018MIL.EVN.regular.comment.csv",45
"MIL201807030",29,"$Twins challenged call that Kepler was out at second; call was overturned - dropped catch error","2018MIL.EVN.regular.comment.csv",46
"MIL201807030",40,"Mound Visit","2018MIL.EVN.regular.comment.csv",47
"MIL201807030",44,"Mound Visit","2018MIL.EVN.regular.comment.csv",48
"MIL201807030",60,"Mound Visit","2018MIL.EVN.regular.comment.csv",49
"MIL201807040",21,"$Brewers challenged call that Thames was out at 2nd; call was upheld - out to complete double play","2018MIL.EVN.regular.comment.csv",50
"MIL201807040",31,"Mound Visit","2018MIL.EVN.regular.comment.csv",51
"MIL201807040",46,"Mound Visit","2018MIL.EVN.regular.comment.csv",52
"MIL201807040",50,"Mound Visit","2018MIL.EVN.regular.comment.csv",53
"MIL201807040",52,"Mound Visit","2018MIL.EVN.regular.comment.csv",54
"MIL201807040",58,"$Twins challenged call that Thames was out at 1st; call was upheld - ground out","2018MIL.EVN.regular.comment.csv",55
"MIL201807040",60,"Mound Visit","2018MIL.EVN.regular.comment.csv",56
"MIL201807040",65,"Mound Visit","2018MIL.EVN.regular.comment.csv",57
"MIL201807050",44,"Mound Visit","2018MIL.EVN.regular.comment.csv",58
"MIL201807050",51,"Injury Delay $Brewers challenged call that Acuna was hit by pitch; call was upheld - hit by pitch","2018MIL.EVN.regular.comment.csv",59
"MIL201807060",21,"Mound Visit","2018MIL.EVN.regular.comment.csv",60
"MIL201807060",22,"Injury Delay Mound Visit","2018MIL.EVN.regular.comment.csv",61
"MIL201807060",49,"Mound Visit","2018MIL.EVN.regular.comment.csv",62
"MIL201807060",51,"Injury Delay","2018MIL.EVN.regular.comment.csv",63
"MIL201807060",52,"Mound Visit","2018MIL.EVN.regular.comment.csv",64
"MIL201807060",54,"Mound Visit","2018MIL.EVN.regular.comment.csv",65
"MIL201807060",55,"$Ronald Acuna left with an injured groin","2018MIL.EVN.regular.comment.csv",66
"MIL201807060",69,"$Braves challenged call that Swanson was out at 2nd; call was upheld - out on caught stealing","2018MIL.EVN.regular.comment.csv",67
"MIL201807070",2,"$Braves challenged call that Inciarte was out at first; call was overturned - single","2018MIL.EVN.regular.comment.csv",68
"MIL201807070",5,"Mound Visit","2018MIL.EVN.regular.comment.csv",69
"MIL201807070",6,"Mound Visit","2018MIL.EVN.regular.comment.csv",70
"MIL201807070",53,"Injury Delay Mound Visit","2018MIL.EVN.regular.comment.csv",71
"MIL201807070",57,"Mound Visit","2018MIL.EVN.regular.comment.csv",72
"MIL201807070",61,"Mound Visit","2018MIL.EVN.regular.comment.csv",73
"MIL201807070",67,"Mound Visit","2018MIL.EVN.regular.comment.csv",74
