GAME_ID,EVENT_ID,COMMENT_TX
"LAN199510040",58,"ej,mondr002,P,davib902,Balls and strikes Raul Mondesi ejected by HP umpire Bob Davidson on way to RF"
"CIN199510060",24,"Throw late; Fonville missed plate. Scorer indicates there may be missed pitches in next 3 ABs due to incessant replays of play at plate."
"CIN199510060",68,"Scorer missed an error charged to Roberto Kelly in this game. It may have come on above play; error did not affect scoring."
